user_id,date,day_of_week,is_weekend,is_workday,weather,caffeine_after_6pm,event
u01,2026-02-14,Saturday,True,False,clear,False,
u01,2026-02-15,Sunday,True,False,cloudy,False,
u01,2026-02-16,Monday,False,True,rain,False,
u01,2026-02-17,Tuesday,False,True,hot,False,
u01,2026-02-18,Wednesday,False,True,cold,False,
u01,2026-02-19,Thursday,False,True,clear,False,
u01,2026-02-20,Friday,False,True,cloudy,False,
u01,2026-02-21,Saturday,True,False,rain,False,
u01,2026-02-22,Sunday,True,False,hot,False,
u01,2026-02-23,Monday,False,True,cold,False,
u01,2026-02-24,Tuesday,False,True,clear,False,
u01,2026-02-25,Wednesday,False,True,cloudy,False,
u01,2026-02-26,Thursday,False,True,rain,False,
u01,2026-02-27,Friday,False,True,hot,False,
u01,2026-02-28,Saturday,True,False,cold,False,
u01,2026-03-01,Sunday,True,False,clear,False,
u01,2026-03-02,Monday,False,True,cloudy,True,
u01,2026-03-03,Tuesday,False,True,rain,False,
u01,2026-03-04,Wednesday,False,True,hot,False,
u01,2026-03-05,Thursday,False,True,cold,False,
u01,2026-03-06,Friday,False,True,clear,True,
u01,2026-03-07,Saturday,True,False,cloudy,False,
u01,2026-03-08,Sunday,True,False,rain,True,
u01,2026-03-09,Monday,False,True,hot,False,
u01,2026-03-10,Tuesday,False,True,cold,False,
u01,2026-03-11,Wednesday,False,True,clear,False,
u01,2026-03-12,Thursday,False,True,cloudy,False,
u01,2026-03-13,Friday,False,True,rain,False,
u01,2026-03-14,Saturday,True,False,hot,False,
u01,2026-03-15,Sunday,True,False,cold,True,
u01,2026-03-16,Monday,False,True,clear,False,
u01,2026-03-17,Tuesday,False,True,cloudy,False,
u01,2026-03-18,Wednesday,False,True,rain,False,
u01,2026-03-19,Thursday,False,True,hot,False,
u01,2026-03-20,Friday,False,True,cold,False,
u01,2026-03-21,Saturday,True,False,clear,False,
u01,2026-03-22,Sunday,True,False,cloudy,False,
u01,2026-03-23,Monday,False,True,rain,False,
u01,2026-03-24,Tuesday,False,True,hot,False,
u01,2026-03-25,Wednesday,False,True,cold,True,
u01,2026-03-26,Thursday,False,True,clear,False,
u01,2026-03-27,Friday,False,True,cloudy,True,
u01,2026-03-28,Saturday,True,False,rain,True,
u01,2026-03-29,Sunday,True,False,hot,False,
u01,2026-03-30,Monday,False,True,cold,False,
u01,2026-03-31,Tuesday,False,True,clear,False,
u01,2026-04-01,Wednesday,False,True,cloudy,False,
u01,2026-04-02,Thursday,False,True,rain,False,
u01,2026-04-03,Friday,False,True,hot,False,
u01,2026-04-04,Saturday,True,False,cold,True,
u01,2026-04-05,Sunday,True,False,clear,False,
u01,2026-04-06,Monday,False,True,cloudy,True,
u01,2026-04-07,Tuesday,False,True,rain,False,
u01,2026-04-08,Wednesday,False,True,hot,False,
u01,2026-04-09,Thursday,False,True,cold,False,
u01,2026-04-10,Friday,False,True,clear,False,
u01,2026-04-11,Saturday,True,False,cloudy,False,
u01,2026-04-12,Sunday,True,False,rain,False,
u01,2026-04-13,Monday,False,True,hot,False,
u01,2026-04-14,Tuesday,False,True,cold,False,
u01,2026-04-15,Wednesday,False,True,clear,False,
u01,2026-04-16,Thursday,False,True,cloudy,True,
u01,2026-04-17,Friday,False,True,rain,False,
u01,2026-04-18,Saturday,True,False,hot,False,
u01,2026-04-19,Sunday,True,False,cold,True,
u01,2026-04-20,Monday,False,True,clear,False,
u01,2026-04-21,Tuesday,False,True,cloudy,False,
u01,2026-04-22,Wednesday,False,True,rain,False,
u01,2026-04-23,Thursday,False,True,hot,False,
u01,2026-04-24,Friday,False,True,cold,False,
u01,2026-04-25,Saturday,True,False,clear,False,
u01,2026-04-26,Sunday,True,False,cloudy,True,
u01,2026-04-27,Monday,False,True,rain,False,
u01,2026-04-28,Tuesday,False,True,hot,False,
u01,2026-04-29,Wednesday,False,True,cold,False,
u01,2026-04-30,Thursday,False,True,clear,False,
u01,2026-05-01,Friday,False,True,cloudy,False,
u01,2026-05-02,Saturday,True,False,rain,False,
u01,2026-05-03,Sunday,True,False,hot,False,
u01,2026-05-04,Monday,False,True,cold,False,
u01,2026-05-05,Tuesday,False,True,clear,True,
u01,2026-05-06,Wednesday,False,True,cloudy,False,
u01,2026-05-07,Thursday,False,True,rain,False,
u01,2026-05-08,Friday,False,True,hot,False,
u01,2026-05-09,Saturday,True,False,cold,False,
u01,2026-05-10,Sunday,True,False,clear,False,
u01,2026-05-11,Monday,False,True,cloudy,False,
u01,2026-05-12,Tuesday,False,True,rain,False,
u01,2026-05-13,Wednesday,False,True,hot,True,
u01,2026-05-14,Thursday,False,True,cold,False,
u01,2026-05-15,Friday,False,True,clear,False,
u01,2026-05-16,Saturday,True,False,cloudy,False,
u01,2026-05-17,Sunday,True,False,rain,False,
u01,2026-05-18,Monday,False,True,hot,True,
u01,2026-05-19,Tuesday,False,True,cold,False,
u01,2026-05-20,Wednesday,False,True,clear,False,
u01,2026-05-21,Thursday,False,True,cloudy,False,
u01,2026-05-22,Friday,False,True,rain,False,
u01,2026-05-23,Saturday,True,False,hot,False,
u01,2026-05-24,Sunday,True,False,cold,False,
u01,2026-05-25,Monday,False,True,clear,False,
u01,2026-05-26,Tuesday,False,True,cloudy,False,
u01,2026-05-27,Wednesday,False,True,rain,False,
u01,2026-05-28,Thursday,False,True,hot,False,
u01,2026-05-29,Friday,False,True,cold,True,
u01,2026-05-30,Saturday,True,False,clear,False,deadline
u01,2026-05-31,Sunday,True,False,cloudy,False,deadline
u01,2026-06-01,Monday,False,True,rain,False,deadline
u01,2026-06-02,Tuesday,False,True,hot,False,deadline
u01,2026-06-03,Wednesday,False,True,cold,False,deadline
